#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2022 10 01 20 18  66  1.2  1.4 99.00 99.00 99.00 999 1012.0  24.7  22.8 999.0 99.0 99.00
2022 10 01 20 24  81  0.8  1.4 99.00 99.00 99.00 999 1012.0  24.7  22.8 999.0 99.0 99.00
2022 10 01 20 30 109  0.4  1.2 99.00 99.00 99.00 999 1011.9  24.9  22.8 999.0 99.0 99.00
2022 10 01 20 36 110  0.0  0.2 99.00 99.00 99.00 999 1011.9  26.0  22.7 999.0 99.0 99.00
2022 10 01 20 42 110  0.0  0.0 99.00 99.00 99.00 999 1011.8  26.6  22.7 999.0 99.0 99.00
2022 10 01 20 48 110  0.0  0.0 99.00 99.00 99.00 999 1011.8  26.9  22.7 999.0 99.0 99.00
2022 10 01 20 54 110  0.4  0.5 99.00 99.00 99.00 999 1011.8  26.2  22.7 999.0 99.0 99.00
2022 10 01 21 00 158  0.5  0.7 99.00 99.00 99.00 999 1011.8  25.9  22.7 999.0 99.0 99.00
2022 10 01 21 06 158  0.7  0.9 99.00 99.00 99.00 999 1011.8  25.6  22.6 999.0 99.0 99.00
2022 10 01 21 12 154  0.8  1.3 99.00 99.00 99.00 999 1011.7  25.3  22.7 999.0 99.0 99.00
2022 10 01 21 18  81  0.3  1.7 99.00 99.00 99.00 999 1011.7  25.4  22.7 999.0 99.0 99.00
2022 10 01 21 24 279  0.2  1.0 99.00 99.00 99.00 999 1011.7  26.4  22.7 999.0 99.0 99.00
2022 10 01 21 30 181  0.6  0.9 99.00 99.00 99.00 999 1011.7  26.4  22.7 999.0 99.0 99.00
2022 10 01 21 36 193  0.0  0.8 99.00 99.00 99.00 999 1011.7  27.2  22.7 999.0 99.0 99.00
2022 10 01 21 42 303  0.5  0.7 99.00 99.00 99.00 999 1011.7  27.0  22.7 999.0 99.0 99.00
